ID,Title,Option 1,Option 2,Option 1 Ask (¢),Option 2 Ask (¢),Status,Expires
502517,ARCH Will the match be a draw?,Yes,No,N/A,N/A,active,2024-06-17T12:00:00Z
513304,Will Trump impose large tariffs in his first 6 months?,Yes,No,97.3,3.5,active,2025-08-31T12:00:00Z
513317,Bird flu pandemic before August 2025?,Yes,No,0.9,99.3,active,2025-07-31T12:00:00Z
513651,Doge ETF approved by July 31?,Yes,No,2.6,97.5,active,2025-07-31T12:00:00Z
514374,Ripple ETF approved by July 31?,Yes,No,15.0,88.0,active,2025-07-31T12:00:00Z
512644,Will Trump repeal Presidential term limits?,Yes,No,1.1,99.1,active,2025-07-31T12:00:00Z
512812,X and Truth Social merger announced before August?,Yes,No,0.5,99.7,active,2025-07-31T12:00:00Z
515867,Litecoin ETF approved by July 31?,Yes,No,7.0,94.0,active,2025-07-31T12:00:00Z
516706,Fed rate hike in 2025?,Yes,No,7.0,94.0,active,2025-12-10T12:00:00Z
516710,US recession in 2025?,Yes,No,22.0,79.0,active,2026-02-28T12:00:00Z
516711,Fed emergency rate cut in 2025?,Yes,No,10.0,91.0,active,2025-12-31T12:00:00Z
516712,Tether insolvent in 2025?,Yes,No,4.8,95.7,active,2025-12-31T12:00:00Z
516713,USDT depeg in 2025?,Yes,No,7.0,95.0,active,2025-12-31T12:00:00Z
516714,Weed rescheduled in 2025?,Yes,No,27.0,77.0,active,2025-12-31T12:00:00Z
516715,Ukraine joins NATO in 2025?,Yes,No,3.4,96.7,active,2025-12-31T12:00:00Z
516716,Khamenei out as Supreme Leader of Iran in 2025?,Yes,No,26.0,75.0,active,2025-12-31T12:00:00Z
516717,Nuclear weapon detonation in 2025?,Yes,No,7.0,94.0,active,2025-12-31T12:00:00Z
516719,Russia x Ukraine ceasefire in 2025?,Yes,No,23.0,78.0,active,2025-12-31T12:00:00Z
516720,Putin out as President of Russia in 2025?,Yes,No,8.0,94.0,active,2025-12-31T12:00:00Z
516721,Netanyahu out in 2025?,Yes,No,16.0,85.0,active,2025-12-31T12:00:00Z
516723,Will no Fed rate cuts happen in 2025?,Yes,No,16.0,85.0,active,2025-12-10T12:00:00Z
516724,Will 1 Fed rate cut happen in 2025?,Yes,No,25.0,76.0,active,2025-12-10T12:00:00Z
516725,Will 2 Fed rate cuts happen in 2025?,Yes,No,38.0,63.0,active,2025-12-10T12:00:00Z
516726,Will 3 Fed rate cuts happen in 2025?,Yes,No,14.0,87.0,active,2025-12-10T12:00:00Z
516727,Will 4 Fed rate cuts happen in 2025?,Yes,No,5.2,94.9,active,2025-12-10T12:00:00Z
516728,Will 5 Fed rate cuts happen in 2025?,Yes,No,1.9,98.2,active,2025-12-10T12:00:00Z
516729,Will 8+ Fed rate cuts happen in 2025?,Yes,No,2.3,97.8,active,2025-12-10T12:00:00Z
516730,Will 7 Fed rate cuts happen in 2025?,Yes,No,0.7,99.4,active,2025-12-10T12:00:00Z
516731,Will 6 Fed rate cuts happen in 2025?,Yes,No,1.3,98.9,active,2025-12-10T12:00:00Z
516732,Will SpaceX have less than 100 launches in 2025?,Yes,No,0.7,99.6,active,2025-12-31T12:00:00Z
516733,Will SpaceX have between 100-119 launches in 2025?,Yes,No,0.3,99.9,active,2025-12-31T12:00:00Z
516734,Will SpaceX have between 120-139 launches in 2025?,Yes,No,5.2,99.0,active,2025-12-31T12:00:00Z
516808,Will SpaceX have between 140-159 launches in 2025?,Yes,No,7.0,95.0,active,2025-12-31T12:00:00Z
516809,Will SpaceX have between 160-179 launches in 2025?,Yes,No,83.0,27.0,active,2025-12-31T12:00:00Z
516810,Will SpaceX have between 180-199 launches in 2025?,Yes,No,9.0,92.0,active,2025-12-31T12:00:00Z
516811,Will SpaceX have 200 or more launches in 2025?,Yes,No,2.7,97.4,active,2025-12-31T12:00:00Z
516818,Will NVIDIA be the largest company in the world by market cap on December 31?,Yes,No,58.0,43.0,active,2025-12-31T12:00:00Z
516820,Will Microsoft be the largest company in the world by market cap on December 31?,Yes,No,30.0,73.0,active,2025-12-31T12:00:00Z
516821,Will Apple be the largest company in the world by market cap on December 31?,Yes,No,10.0,92.0,active,2025-12-31T12:00:00Z
516822,Will Alphabet be the largest company in the world by market cap on December 31?,Yes,No,2.5,97.9,active,2025-12-31T12:00:00Z
516824,Will Tesla be the largest company in the world by market cap on December 31?,Yes,No,3.0,97.2,active,2025-12-31T12:00:00Z
516837,Sundar Pichai out as Google CEO in 2025?,Yes,No,14.0,89.0,active,2025-12-31T12:00:00Z
516838,Tim Cook out as Apple CEO in 2025?,Yes,No,11.0,92.0,active,2025-12-31T12:00:00Z
516840,Dan Clancy out as Twitch CEO in 2025?,Yes,No,30.0,86.0,active,2025-12-31T12:00:00Z
