Kalshi ID,Kalshi Title,Polymarket ID,Polymarket Title,Cosine
KXPGARYDER-RC25-EU,Will Europe win the Ryder Cup? [Europe],556166,Will Europe win the 2025 Ryder Cup?,0.98918
KXSPOTIFYALBUMRELEASE-25-FO,Will Frank Ocean release an album this year? [Frank Ocean],533293,Will Frank Ocean release an album in 2025?,0.98265
KXWLEADER-25-XJIN,Will Trump meet with Xi Jinping before 2025? [Xi Jinping],524148,Will Trump meet with Xi Jinping in 2025?,0.98248
KXSPOTIFYALBUMRELEASE-25-AROCK,Will A$AP Rocky release an album this year? [A$AP Rocky],533295,Will A$AP Rocky release an album in 2025?,0.98176
TESLACEOCHANGE-25,Musk out as Tesla CEO before 2025? (Before 2026) [Before 2026],527866,Musk out as Tesla CEO in 2025?,0.97554
KXWLEADER-25-KJU,Will Trump meet with Kim Jong-Un before 2025? [Kim Jong-Un],524146,Will Trump meet with Kim Jong Un in 2025?,0.97463
KXBRAZILU-Q42025-6.3,Will unemployment in Brazil be below 6.3% in Q4 2025? [Below 6.3%],526939,Brazil unemployment below 6.3% for Q4 2025?,0.97334
KXWLEADER-25-VP,Will Trump meet with Vladimir Putin before 2026? [Vladimir Putin],536502,Will Trump meet with Vladimir Putin in 2025?,0.97218
KXHARDFORKBTC-25,Will Bitcoin have a hard fork in 2025? [Before 2026],557824,Will Bitcoin hard fork before 2026?,0.97212
KXPGARYDER-RC25-USA,Will United States win the Ryder Cup? [United States],556165,Will USA win the 2025 Ryder Cup?,0.96989
KXFETTERMANSWITCH-26JAN,Will John Fetterman leave the Democrats? [Before Jan 2026],555776,Will John Fetterman leave the Democratic Party in 2025?,0.96958
KXENGAGEMENTSWIFTKELCE-25,Will Taylor Swift and Travis Kelce be engaged in 2025? [Before 2026],516906,Taylor Swift and Travis Kelce engaged in 2025?,0.96768
KXENGAGEMENTTIMOTHEEKYLIE-25,Will Timothée Chalamet and Kylie Jenner be engaged in 2025? [Before 2026],539249,Timothée Chalamet and Kylie Jenner engaged in 2025?,0.96689
KXRECOGPALESTINE-25-FR,Who will recognize Palestine? [France],549332,Will France recognize Palestine in 2025?,0.96619
KXUSOMENSINGLES-25-BS,Will the Ben Shelton win the Men's US Open? [Ben Shelton],541824,Will Ben Shelton win the 2025 US Open?,0.96323
KXUSOMENSINGLES-25-JD,Will the Jack Draper win the Men's US Open? [Jack Draper],541815,Will Jack Draper win the 2025 US Open?,0.96222
KXUSOMENSINGLES-25-CR,Will the Casper Ruud win the Men's US Open? [Casper Ruud],541817,Will Casper Ruud win the 2025 US Open?,0.96202
KXUSOMENSINGLES-25-DM,Will the Daniil Medvedev win the Men's US Open? [Daniil Medvedev],541821,Will Daniil Medvedev win the 2025 US Open?,0.96081
KXUSOMENSINGLES-25-AZ,Will the Alexander Zverev win the Men's US Open? [Alexander Zverev],541812,Will Alexander Zverev win the 2025 US Open?,0.96026
KXUSOMENSINGLES-25-ND,Will the Novak Djokovic win the Men's US Open? [Novak Djokovic],541816,Will Novak Djokovic win the 2025 US Open?,0.95997
KXF1CONSTRUCTORS-25-FER,Will the Ferrari win the F1 Constructors Champion?? [Ferrari],525325,Will Ferrari be the 2025 Constructors Champion?,0.95938
KXUSOMENSINGLES-25-ADM,Will the Alex De Minaur win the Men's US Open? [Alex De Minaur],541818,Will Alex de Minaur win the 2025 US Open?,0.95798
KXRECOGPALESTINE-25-US,Who will recognize Palestine? [United States],543356,Will the US recognize Palestine in 2025?,0.95778
KXENDORSECUOMOADAMS-25NOV04,Will Andrew Cuomo endorse Eric Adams in 2025 NYC Mayoral Race? [Before election day],555657,Will Cuomo endorse Eric Adams?,0.95769
KXUSOMENSINGLES-25-TP,Will the Tommy Paul win the Men's US Open? [Tommy Paul],541822,Will Tommy Paul win the 2025 US Open?,0.95714
KXUSOMENSINGLES-25-JS,Will the Jannik Sinner win the Men's US Open? [Jannik Sinner],541811,Will Jannik Sinner win the 2025 US Open?,0.956
KXUSOMENSINGLES-25-TF,Will the Taylor Fritz win the Men's US Open? [Taylor Fritz],541814,Will Taylor Fritz win the 2025 US Open?,0.95534
KXUSOMENSINGLES-25-CA,Will the Carlos Alcaraz win the Men's US Open? [Carlos Alcaraz],541813,Will Carlos Alcaraz win the 2025 US Open?,0.95416
KXSPACEXCOUNT-25-200,How many launches will SpaceX have in 2025? (Above 200) [Above 200],516811,Will SpaceX have 200 or more launches in 2025?,0.95357
KXOAISOCIAL-25,Will OpenAI release a social app in 2025? [In 2025],537491,OpenAI social app in 2025?,0.9533
KXUSOMENSINGLES-25-HR,Will the Holger Rune win the Men's US Open? [Holger Rune],541820,Will Holger Rune win the 2025 US Open?,0.95322
KXBOLIVIAPRES-25-SDM,Who will win the Bolivian presidential election? [Samuel Doria Medina],543260,Will Samuel Doria Medina win the 2025 Bolivia presidential election?,0.95268
KXBOLIVIAPRES-25-MRV,Who will win the Bolivian presidential election? [Manfred Reyes Villa],543261,Will Manfred Reyes Villa win the 2025 Bolivia presidential election?,0.95263
KXTIME-25-BEN,Will Benjamin Netanyahu be Time Person of the Year in 2025? (Benjamin Netanyahu) [Benjamin Netanyahu],555829,Will Benjamin Netanyahu be TIME's Person of the Year for 2025?,0.9521
KXTIME-25-VOL,Will Volodymyr Zelenskyy be Time Person of the Year in 2025? (Volodymyr Zelenskyy) [Volodymyr Zelenskyy],555825,Will Volodymyr Zelenskyy be TIME's Person of the Year for 2025?,0.95209
KXAFDBANREQUEST-25,Will the German government request a ban of the AfD? [In 2025],541027,German government files appeal to ban AfD in 2025?,0.95129
KXBOLIVIAPRES-25-LA,Who will win the Bolivian presidential election? [Luis Arce],543258,Will Luis Arce win the 2025 Bolivia presidential election?,0.95125
KXNEWOUTBREAKPMEASLES-25,"New pandemic by 2025? (By Dec 31, 2025) [By Dec 31, 2025]",516910,New pandemic in 2025?,0.95117
KXBOLIVIAPRES-25-BM,Who will win the Bolivian presidential election? [Branko Marinković],543274,Will Branko Marinković win the 2025 Bolivia presidential election?,0.95093
KXGTEMP-25-P0,Will 2025 be the hottest year on record? [Hottest],516938,Will 2025 be the hottest year on record?,0.95084
KXBOLIVIAPRES-25-AR,Who will win the Bolivian presidential election? [Andrónico Rodríguez],543259,Will Andrónico Rodríguez win the 2025 Bolivia presidential election?,0.95038
KXTIME-25-EM,Will Elon Musk be Time Person of the Year in 2025? (Elon Musk) [Elon Musk],555822,Will Elon Musk be TIME's Person of the Year for 2025?,0.95001
KXSPACEXCOUNT-25-100,How many launches will SpaceX have in 2025? (Above 100) [Above 100],516733,Will SpaceX have between 100-119 launches in 2025?,0.9489
KXBOLIVIAPRES-25-CM,Who will win the Bolivian presidential election? [Carlos Mesa],543272,Will Carlos Mesa win the 2025 Bolivia presidential election?,0.94861
KXBOLIVIAPRES-25-CHC,Who will win the Bolivian presidential election? [Chi Hyun Chung],543263,Will Chi Hyun Chung win the 2025 Bolivia presidential election?,0.94837
KXPRESCHILE-25-CTOH,Will Carolina Tohá win the Chilean presidential election? (:: Party for Democracy) [Carolina Tohá],541617,Will Carolina Tohá win the Chilean presidential election?,0.94736
KXUSOMENSINGLES-25-FT,Will the Frances Tiafoe win the Men's US Open? [Frances Tiafoe],541825,Will Frances Tiafoe win the 2025 US Open?,0.9448
KXPGARYDER-RC25-TIE,Will Tie win the Ryder Cup? [Tie],556167,Will the 2025 Ryder Cup end in a tie?,0.94407
KXTIME-25-PLEOXIV,Will Pope Leo XIV be Time Person of the Year in 2025? (Pope Leo XIV) [Pope Leo XIV],555828,Will Pope Leo XIV be TIME's Person of the Year for 2025?,0.94386
KXF1CONSTRUCTORS-25-WIL,Will the Williams Mercedes win the F1 Constructors Champion?? [Williams],525333,Will Williams be the 2025 Constructors Champion?,0.94367
KXTIME-25-DT,Will Donald Trump be Time Person of the Year in 2025? (Donald Trump) [Donald Trump],555821,Will Donald Trump be TIME's Person of the Year for 2025?,0.94345
KXSNAPELECTIONES-25,Will there be a snap election in Spain this year? [In 2025],547957,Spain snap election called in 2025?,0.94289
KXPRESCHILE-25-EMAT,Will Evelyn Matthei win the Chilean presidential election? (:: Independent Democratic Union) [Evelyn Matthei],541623,Will Evelyn Matthei win the Chilean presidential election?,0.9428
KXPRESCHILE-25-JKAS,Will José Antonio Kast win the Chilean presidential election? (:: Republican Party) [José Antonio Kast],541622,Will José Antonio Kast win the Chilean presidential election?,0.94268
KXF1CONSTRUCTORS-25-MCL,Will the McLaren Mercedes win the F1 Constructors Champion?? [McLaren],525328,Will McLaren be the 2025 Constructors Champion?,0.94262
KXSPACEXCOUNT-25-160,How many launches will SpaceX have in 2025? (Above 160) [Above 160],516809,Will SpaceX have between 160-179 launches in 2025?,0.94185
KXNOBELPEACE-25-DJT,Who will win the Nobel Peace Prize? [Donald Trump],516944,Will Donald Trump win Nobel Peace Prize in 2025?,0.94068
KXF1CONSTRUCTORS-25-HAA,Will the Haas Ferrari win the F1 Constructors Champion?? [Haas],525331,Will Haas be the 2025 Constructors Champion?,0.94059
KXACUIREANTHROPIC-25,Will  acquire Anthropic in 2025? [Anthropic],535051,Anthropic acquired in 2025?,0.9397
KXCUOMODROPOUT-25-CSIL,Will Curtis Sliwa drop out of the NYC Mayoral race? [Curtis Sliwa],538930,Will Curtis Sliwa win the 2025 NYC mayoral election?,0.93948
KXPRESCHILE-25-JJAR,Will Jeannette Jara win the Chilean presidential election? (:: Communist party of Chile) [Jeannette Jara],541615,Will Jeannette Jara win the Chilean presidential election?,0.93926
